Question;Gen Z;Gen Y;Gen X;Boomer
Scrolled through a brands feed or website with no intend to purchase at that moment;50%;36%;;
Always open to discover new brands;71%;81%;15%;25%
Activly seeking new brands at least weekly;57%;;;
Brands lie;56%;47%;;
Trust brands claims about their product/service;40%;58%;;
actively seeking style inspiration at least monthly;77%;79%;;
social media influencers create new trends;51%;36%;;
I trust my algorithms to serve me the content/products I want;49%;62%;;
I rely on algorithms to help me discover new things;45%;52%;;
Buying impulsively;34%;33%;;
look for reviews from online influencers;40%;31%;;
Ask my friends or family for brands or stores to check out;38%;26%;;
Look for items on sale or special offers;45%;42%;;
more likely to purchase from brands that they see as “cool”;84%;;;
More likely to purchase from brands are the ones that make them feel like they’re part of a community;54%;;;
use social media as their main source of shopping inspiration;97%;;;
how a brand treats its employees influences their decision to support them;77%;;;
willing to pay more for sustainably produced goods;61%;;;
mental health is a top priority;73%;;;
Buying because of social media / peer reference;80%;67%;19%;40%
Prefer Online shopping;80%;75%;;55%
Use social media for product research;;65%;;25%
Make their buying decisions based on online reviews;;;;52%
Comfort is very important for the product they buy (No necessary goods included);;87%;56%;94%
Shop online at least once a month;;;;62%
Use Social Media daily;;;62%;34%
Value regional products;;;;65%
Use TV/Radio/Newspaper daily;;;;90%
Use Facebook;;88%;;53%
Use instagram;;56%;;27%
Use Tiktok;;;;12%
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
